	0
2998	28
2999	26
3000	5
3001	13
3002	13
3003	13
3004	2
3005	2
3006	9
3007	9
3008	9
3009	36
3010	9
3011	9
3012	9
3013	36
3014	27
3015	27
3016	27
3017	27
3018	27
3019	27
3020	27
3021	27
3022	27
3023	27
3024	27
3025	27
3026	27
3027	27
3028	27
3029	9
3030	9
3031	1
3032	7
3033	7
3034	7
3035	7
3036	7
3037	7
3038	7
3039	1
3040	25
3041	25
3042	25
3043	25
3044	25
3045	25
3046	1
3047	1
3048	3
3049	20
3050	20
3051	20
3052	2
3053	2
3054	7
3055	2
3056	20
3057	20
3058	20
3059	20
3060	17
3061	34
3062	34
3063	17
3064	17
3065	17
3066	17
3067	17
3068	3
3069	3
3070	3
3071	3
3072	17
3073	17
3074	17
3075	0
3076	0
3077	0
3078	0
3079	0
3080	0
3081	33
3082	17
3083	17
3084	17
3085	17
3086	17
3087	13
3088	13
3089	13
3090	13
3091	27
3092	27
3093	27
3094	27
3095	27
3096	27
3097	30
3098	30
3099	30
3100	30
3101	8
3102	8
3103	8
3104	8
3105	8
3106	8
3107	8
3108	14
3109	14
3110	14
3111	14
3112	14
3113	14
3114	14
3115	14
3116	14
3117	14
3118	14
3119	14
3120	14
3121	14
3122	14
3123	14
3124	35
3125	9
3126	35
3127	9
3128	35
3129	9
3130	4
3131	4
3132	4
3133	4
3134	4
3135	4
3136	18
3137	18
3138	13
3139	13
3140	1
3141	1
3142	1
3143	1
3144	1
3145	1
3146	1
3147	1
3148	7
3149	1
3150	25
3151	25
3152	12
3153	12
3154	33
3155	33
3156	33
3157	33
3158	33
3159	33
3160	33
3161	33
3162	2
3163	2
3164	2
3165	2
3166	13
3167	13
3168	13
3169	13
3170	3
3171	3
3172	4
3173	0
3174	0
3175	0
3176	0
3177	0
3178	0
3179	31
3180	33
3181	33
3182	37
3183	7
3184	2
3185	7
3186	2
3187	7
3188	2
3189	27
3190	27
3191	27
3192	31
3193	31
3194	31
3195	27
3196	27
3197	27
3198	27
3199	27
3200	27
3201	21
3202	21
3203	25
3204	19
3205	2
3206	2
3207	2
3208	8
3209	8
3210	20
3211	20
3212	33
3213	33
3214	33
3215	33
3216	3
3217	3
3218	17
3219	17
3220	17
3221	11
3222	11
3223	11
3224	11
3225	11
3226	11
3227	11
3228	12
3229	12
